,symbol,meaning
0,Ábaco ,Usar este instrumento nos indica que realizaremos muchos esfuerzos en el terreno laboral para obtener pocos resultados. 
1,Abad o abadesa: ,"Los sueños en los que intervienen sacerdotes, sean de la religión que sean, indican nuestra necesidad de confiar nuestros problemas a alguien que nos comprenda y nos ayude a solucionarlo. Todo depende de la actitud del sacerdote. "
2,Abadía: ,"Lo podemos aplicar a cualquier templo religioso. Soñar con ella significa inquietudes espirituales, morales o intelectuales. Si rezamos dentro es señal de felicidad. "
3,Abanderado: ,"Próxima promoción profesional, teniendo en cuenta como discurra el combate. "
4,Abandono: ,"Si la persona abandonada eres tu: -Si nos abandona gente poderosa o nuestro/a amante indica la posibilidad de liberarnos de su dominio. -Si nos abandona nuestra madre tendremos aprietos materiales. -Si es el padre indica nuestra falta de voluntad para realizar nuestros proyectos. -Cuando se trata de nuestro cónyuge nos muestra que se están produciendo problemas materialmente por nuestra causa. Si eres tu quien abandona: Lo que abandonemos en este sueño nos indicará que o quien es lo que nos atormenta y lo que debemos modificar o de lo que debemos liberarnos. En todos los demás casos siempre habrá problemas y dificultades. En cualquier caso existen sueños en los que nuestro inconsciente nos indica que algo no va bien en nuestro interior sin responder a ningún sufrimiento externo, entonces acudiremos al médico que nos aclarará si estamos enfermos sin saberlo. "
5,Abanico: ,"Indica que se disfrazan las verdaderas intenciones. Es un símbolo de coquetería. Quien maneja el abanico es quien lleva la iniciativa en el mundo real pero con falta de franqueza, deslealtad e intriga. "
6,Abatimiento: ,Indica una extrema debilidad de carácter. 
7,Absceso: , Proyectos no conseguidos. 
8,Abdicar: ,Nos indica que somos muy autoritarios con los que dependen de nosotros. 
9,Abdomen: ,Si engordamos indica riqueza y honores profesionales. Si adelgazamos indica pobreza. Si es otra persona te avisa de que alguien te quiere traicionar o mentir. 
10,Abecedario: ,Sus deseos y aspiraciones encontrarán nuevas posibilidades. 
11,Abedul: ,Suerte y felicidad. Beneficios financieros. 
12,Abeja: ,"Es un símbolo de trabajo, de éxito laboral. -Verlas en libertad es un presagio feliz. -Verlas de flor en flor indica un amor naciente. -Si te pica una abeja existe un peligro para nuestra reputación. -Si están enfurecidas o nos atacan indica problemas con los asociados o dejadez en el trabajo con la consiguiente ruina. -Matarlas indica que la ruina es inevitable y está próxima. -Destruir la colmena señala que somos antisociales e inadaptados con el entorno. "
13,Abejón: ,"Traición, sus adversarios son amenazantes. "
14,Abejorro: ,Indica que alguien intenta perjudicarnos. Si lo matamos descubriremos las trampas. 
15,Abertura: ,Es señal de esperanza. 
16,Abeto: ,Indica que tenemos o tendremos un amigo sincero que no debemos descuidar. 
17,Abismo: ,El abismo representa un peligro. -Si caemos en el nos avisa de un final desastroso de cualquier indole. -Si caemos pero podemos salir es que existe una posibilidad de apartarnos con muchas dificultades del desastre. -Lo mismo ocurre si pasamos sobre el abismo por un frágil puente. -Si lo vemos pero no caemos en el estamos a tiempo de evitar los males. 
18,Abjurar: ,Deberemos hacer frente a una gran decepción.  
19,Ablandamiento: ,Indica que puede producirse un éxito importante. 
20,Abluciones: ,Con agua limpia significa vitalidad y alegría. Con agua sucia indica decepción. 
21,Abogado: ,Si tu eres el/la abogado/a serás responsable de las dificultades de otra persona. Si vemos un/a abogado/a seremos nosotros los que tendremos las dificultades. 
22,Abono: ,Esperanza y fortuna en el trabajo y en la casa. 
23,Abordar: ,Este sueño nos indica la necesidad de cambiar. -Si somos la víctima del abordaje es que deseamos un cambio profundo pero no encontramos la forma de hacerlo. -Si los que abordamos con éxito somos nosotros el sueño nos indica que ha llegado el momento de intentar ese cambio. -En caso de que no salir triunfadores del abordaje deberemos posponer el cambio para un momento más propicio. 
24,Aborto: ,Augura que algo no llegará a feliz término. Si vemos o participamos en el aborto corremos el peligro de que nos alcance una enfermedad. 
25,Abrazar: ,Suelen indicar la partida de un amigo y es un aviso de que no todas las muestras de afecto son sinceras. 
26,Abrevadero: ,Es señal de tranquilidad. -Si está lleno de agua limpia indica éxito en sus proyectos. -Si está vacío pérdidas de poca importancia. -Si bebes en el te estás equivocando en el camino hacia tu felicidad. 
27,Abrigo: ,Si eres tu el que lo vistes escondes tu verdadera personalidad. Si el que lo lleva es otra persona esconde intenciones egoístas. 
28,Absceso: ,Si somos nosotros los que lo padecemos tendremos una época desgraciada en nuestra vida. Si es otra persona quien lo tiene indica que padeceremos problemas emocionales con otra persona que no tiene porque ser la del sueño. 
29,Absolución: , Si la recibimos nosotros es un augurio afortunado. Si es otra persona la que la recibe tenemos un gran sentido de la amistad. 
30,Absurdo: ,Indica que queremos hacer cosas imposibles en la realidad. 
31,Abstinencia: ,Recibiremos una noticia con gran alegría. 
32,Abuelos: ,Si viven es un presagio favorable. Éxito en sus empresas. -Si aparecen con reproches te alertan de que podrías cometer errores. -Si están muertos puede recibir noticias tristes. Sepa escuchar sus consejos. -Si están enfermos augura preocupaciones y dificultades. 
33,- Abundancia: ,Nos indica que vivimos en una seguridad efímera y que se aproxima una situación en la que pueden menguarse nuestros recursos. 
34,Aburrirse: ,Dificultades. Aquellos que compiten con usted por un mismo objetivo lo tendrán fácil. Esta usted solo para defender su causa. 
35,Acacia: ,Una posible desgracia le amenaza. No se deje abatir. 
36,Academia: ,Sufrirá desdichas. 
37,Acantilado: ,Si vemos un acantilado en sueños nos indica que tendremos dificultades salvo que lo escalemos. 
38,Acaparamiento: ,No conceda mucha importancia a las promesas que le hagan. 
39,Acariciar: ,"Indica buenos sentimientos, nobleza y posibles alegrías. "
40,Accidente: ,-Indica nuestro temor a tomar una decisión importante. -Puede indicar que en nuestro camino surgirá un gran obstáculo. -Si escapamos del accidente nuestro bien hacer nos librará de una situación comprometida. -Si únicamente lo vemos tendremos alguna contrariedad sin consecuencias. 
41,Acechar: ,-Si somos nosotros los acechados es que sus intereses se verán en peligro. -Si el acechado es otra persona este sueño indica temores y angustias por una situación que no puede controlar.  
42,Acedera: ,Fresca significa situación social ventajosa. 
43,Aceite: ,"Éxito y prosperidad, sobre todo si nos lo vierten sobre la cabeza. Si se rompe un recipiente lleno de aceite indica desgracia. "
44,Aceitunas: ,Verlas en el árbol es un presagio feliz. Si están en el suelo presagia problemas afectivos. 
45,Acelerador: ,Cuidado con el temperamento en cuestiones emocionales. 
46,Acelga: ,Problemas económicos. 
