,symbol,meaning
0,Ábaco:,Usar este instrumento nos indica que realizaremos muchos esfuerzos en el terreno laboral para obtener pocos resultados. 
1,Abad o abadesa: ,"Los sueños en los que intervienen sacerdotes, sean de la religión que sean, indican nuestra necesidad de confiar nuestros problemas a alguien que nos comprenda y nos ayude a solucionarlo. Todo depende de la actitud del sacerdote. "
2,Abadía: ,"Lo podemos aplicar a cualquier templo religioso. Soñar con ella significa inquietudes espirituales, morales o intelectuales. Si rezamos dentro es señal de felicidad. "
3,Abanderado: ,"Próxima promoción profesional, teniendo en cuenta como discurra el combate. "
4,Abandono: ,"Si la persona abandonada eres tu: -Si nos abandona gente poderosa o nuestro/a amante indica la posibilidad de liberarnos de su dominio. -Si nos abandona nuestra madre tendremos aprietos materiales. -Si es el padre indica nuestra falta de voluntad para realizar nuestros proyectos. -Cuando se trata de nuestro cónyuge nos muestra que se están produciendo problemas materialmente por nuestra causa. Si eres tu quien abandona: Lo que abandonemos en este sueño nos indicará que o quien es lo que nos atormenta y lo que debemos modificar o de lo que debemos liberarnos. En todos los demás casos siempre habrá problemas y dificultades. En cualquier caso existen sueños en los que nuestro inconsciente nos indica que algo no va bien en nuestro interior sin responder a ningún sufrimiento externo, entonces acudiremos al médico que nos aclarará si estamos enfermos sin saberlo. "
5,Abanico: ,"Indica que se disfrazan las verdaderas intenciones. Es un símbolo de coquetería. Quien maneja el abanico es quien lleva la iniciativa en el mundo real pero con falta de franqueza, deslealtad e intriga. "
6,Abatimiento: ,Indica una extrema debilidad de carácter. 
7,Absceso: , Proyectos no conseguidos. 
8,Abdicar: ,Nos indica que somos muy autoritarios con los que dependen de nosotros. 
9,Abdomen: ,Si engordamos indica riqueza y honores profesionales. Si adelgazamos indica pobreza. Si es otra persona te avisa de que alguien te quiere traicionar o mentir. 
10,Abecedario: ,Sus deseos y aspiraciones encontrarán nuevas posibilidades. 
11,Abedul: ,Suerte y felicidad. Beneficios financieros. 
12,Abeja: ,"Es un símbolo de trabajo, de éxito laboral. -Verlas en libertad es un presagio feliz. -Verlas de flor en flor indica un amor naciente. -Si te pica una abeja existe un peligro para nuestra reputación. -Si están enfurecidas o nos atacan indica problemas con los asociados o dejadez en el trabajo con la consiguiente ruina. -Matarlas indica que la ruina es inevitable y está próxima. -Destruir la colmena señala que somos antisociales e inadaptados con el entorno. "
13,Abejón: ,"Traición, sus adversarios son amenazantes. "
14,Abejorro: ,Indica que alguien intenta perjudicarnos. Si lo matamos descubriremos las trampas. 
15,Abertura: ,Es señal de esperanza. 
16,Abeto: ,Indica que tenemos o tendremos un amigo sincero que no debemos descuidar. 
17,Abismo: ,El abismo representa un peligro. -Si caemos en el nos avisa de un final desastroso de cualquier indole. -Si caemos pero podemos salir es que existe una posibilidad de apartarnos con muchas dificultades del desastre. -Lo mismo ocurre si pasamos sobre el abismo por un frágil puente. -Si lo vemos pero no caemos en el estamos a tiempo de evitar los males. 
18,Abjurar: ,Deberemos hacer frente a una gran decepción.  
19,Ablandamiento: ,Indica que puede producirse un éxito importante. 
